,ID,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,TMDB ID,Correct ID,Vote Average,Vote Count,Genre,Movie Budget,Movie Revenue,Original Language
205,416,The Lorax,2012,7+,72/100,1,1,0,0,0,38060,73723,6.466,2843,Animation,70000000,348840316,en
206,417,Win It All,2017,18+,72/100,1,0,0,0,0,397442,397442,5.745,222,Comedy,0,0,en
207,418,Mile 22,2018,18+,72/100,1,0,0,0,0,347375,347375,6.174,1846,Action,35000000,66308758,en
208,422,The Perfect Date,2019,16+,72/100,1,0,0,0,0,543540,543540,6.486,2956,Romance,0,0,en
209,426,American Assassin,2017,18+,72/100,1,0,0,0,0,415842,415842,6.359,2521,Action,33000000,67200000,en
210,427,August: Osage County,2013,18+,72/100,1,0,0,0,0,152737,152737,6.867,1236,Comedy,25000000,74188937,en
211,430,Free State of Jones,2016,18+,72/100,1,0,0,0,0,316152,316152,6.707,1251,Action,50000000,25035950,en
212,432,Dark Skies,2013,16+,72/100,1,0,0,0,0,145135,145135,6.288,1505,Science Fiction,3500000,25174316,en
213,433,Safe Haven,2013,13+,72/100,1,0,0,0,0,112949,112949,7.2,2070,Romance,28000000,97594140,en
214,435,Outlaw King,2018,18+,72/100,1,0,0,0,0,454227,454227,6.83,1268,Action,0,0,en
215,436,Cloudy with a Chance of Meatballs 2,2013,7+,72/100,1,0,0,0,0,109451,109451,6.443,2620,Animation,78000000,248384621,en
216,437,Turbo,2013,7+,72/100,1,0,0,0,0,15109,77950,6.2,2726,Animation,135000000,282570682,en
217,439,Horns,2013,18+,72/100,1,0,0,0,0,149509,149509,6.285,1996,Drama,0,0,en
218,441,Triple Frontier,2019,18+,72/100,1,0,0,0,0,399361,399361,6.287,2609,Action,0,0,en
219,442,"Hail, Caesar!",2016,13+,72/100,1,0,0,0,0,270487,270487,5.897,3332,Comedy,22000000,63647656,en
220,443,The Ice Road,2021,13+,72/100,1,0,0,0,0,646207,646207,7.004,1260,Action,0,2147110,en
221,445,Freaks,2019,18+,72/100,1,0,0,0,0,136,539892,6.823,881,Science Fiction,0,333593,en
222,447,Horse Girl,2020,18+,72/100,1,0,0,0,0,635870,653601,5.574,440,Drama,0,0,en
223,448,A Christmas Prince,2017,7+,72/100,1,0,1,0,0,483104,483104,6.64,1290,Romance,0,0,en
224,449,Hillbilly Elegy,2020,18+,72/100,1,0,0,0,0,592984,592984,6.827,723,Drama,0,0,en
225,450,American Ultra,2015,18+,72/100,1,0,0,0,0,261392,261392,6.077,2447,Comedy,28000000,27139524,en
226,451,First Match,2018,18+,72/100,1,0,0,0,0,502122,502122,6.6,133,Drama,0,0,en
227,454,The Dawn Wall,2017,16+,72/100,1,0,0,0,0,489471,489471,8.082,251,Documentary,0,0,en
228,455,I'm Thinking of Ending Things,2020,18+,71/100,1,0,0,0,0,500840,500840,6.633,1450,Drama,0,0,en
229,458,The Twilight Saga: Breaking Dawn - Part 2,2012,13+,71/100,1,0,0,0,0,50620,50620,6.5,7756,Adventure,120000000,829000000,en
230,463,Seoul Searching,2015,18+,71/100,1,0,0,0,0,310001,310001,7.2,59,Drama,0,0,en
231,464,Before I Fall,2017,13+,71/100,1,0,0,0,0,397837,397837,6.979,3109,Drama,5000000,16373843,en
